author_id	database	data mining	machine learning	information retrieval
a2368	1	0	0	0
a2372	1	0	0	0
a2376	1	0	0	0
a2378	1	0	0	0
a2379	1	0	0	0
a2381	1	0	0	0
a2386	0	1	0	0
a2396	1	0	0	0
a2399	1	0	0	0
a2408	1	0	0	0
a2409	1	0	0	0
a2418	0	0	0	1
a2423	0	0	1	0
a2425	1	0	0	0
a2426	0	0	0	1
a2434	1	0	0	0
a2439	1	0	0	0
a2447	0	1	0	0
a2457	1	0	0	0
a2462	1	0	0	0
a2465	1	0	0	0
a2470	1	0	0	0
a2471	0	1	0	0
a2474	0	1	0	0
a2478	1	0	0	0
a2479	1	0	0	0
a2481	1	0	0	0
a2482	1	0	0	0
a2484	1	0	0	0
a2490	1	0	0	0
a2495	1	0	0	0
a2498	1	0	0	0
a2502	1	0	0	0
a2505	1	0	0	0
a2508	0	0	0	1
a2512	1	0	0	0
a2515	1	0	0	0
a2518	1	0	0	0
a2526	1	0	0	0
a2527	1	0	0	0
a2529	1	0	0	0
a2532	1	0	0	0
a2536	1	0	0	0
a2542	1	0	0	0
a2544	1	0	0	0
a2545	1	0	0	0
a2550	1	0	0	0
a2552	1	0	0	0
a2553	1	0	0	0
a2555	1	0	0	0
a2562	1	0	0	0
a2565	1	0	0	0
a2573	1	0	0	0
a2578	1	0	0	0
a2582	1	0	0	0
a2586	1	0	0	0
a2588	1	0	0	0
a2590	1	0	0	0
a2597	1	0	0	0
a2606	1	0	0	0
a2612	1	0	0	0
a2629	1	0	0	0
a2633	1	0	0	0
a2639	1	0	0	0
a2646	0	1	0	0
a2671	1	0	0	0
a2682	1	0	0	0
a2690	1	0	0	0
a2691	1	0	0	0
a2697	1	0	0	0
a2702	1	0	0	0
a2707	1	0	0	0
a2714	1	0	0	0
a2718	1	0	0	0
a2727	1	0	0	0
a2730	0	1	0	0
a2733	1	0	0	0
a2739	1	0	0	0
a2749	1	0	0	0
a2761	1	0	0	0
a2766	1	0	0	0
a2767	1	0	0	0
a2772	0	1	0	0
a2776	1	0	0	0
a2778	1	0	0	0
a2780	1	0	0	0
a2782	1	0	0	0
a2789	1	0	0	0
a2794	1	0	0	0
a2800	0	1	0	0
a2802	0	0	0	1
a2805	1	0	0	0
a2806	1	0	0	0
a2808	1	0	0	0
a2816	1	0	0	0
a2825	1	0	0	0
a2828	1	0	0	0
a2831	1	0	0	0
a2832	1	0	0	0
a2837	1	0	0	0
a2841	0	0	0	1
a2843	0	1	0	0
a2844	0	1	0	0
a2846	0	0	0	1
a2849	1	0	0	0
a2850	1	0	0	0
a2855	1	0	0	0
a2856	1	0	0	0
a2860	1	0	0	0
a2864	0	1	0	0
a2866	1	0	0	0
a2868	1	0	0	0
a2870	0	1	0	0
a2871	0	1	0	0
a2875	1	0	0	0
a2876	1	0	0	0
a2881	1	0	0	0
a2885	1	0	0	0
a2886	1	0	0	0
a2897	1	0	0	0
a2899	1	0	0	0
a2902	1	0	0	0
a2913	1	0	0	0
a2916	1	0	0	0
a2921	1	0	0	0
a2924	1	0	0	0
a2934	1	0	0	0
a2937	1	0	0	0
a2939	0	1	0	0
a2943	0	0	1	0
a2945	1	0	0	0
a2948	1	0	0	0
a2959	1	0	0	0
a2967	1	0	0	0
a2968	1	0	0	0
a2977	0	1	0	0
a2987	1	0	0	0
a2993	0	1	0	0
a2995	1	0	0	0
a3015	1	0	0	0
a3018	1	0	0	0
a3023	1	0	0	0
a3029	1	0	0	0
a3035	1	0	0	0
a3037	1	0	0	0
a3038	1	0	0	0
a3042	1	0	0	0
a3043	1	0	0	0
a3048	0	1	0	0
a3049	0	1	0	0
a3053	0	1	0	0
a3057	1	0	0	0
a3068	1	0	0	0
a3073	0	0	0	1
a3074	0	0	0	1
a3080	1	0	0	0
a3083	1	0	0	0
a3086	1	0	0	0
a3087	1	0	0	0
a3093	1	0	0	0
a3098	0	1	0	0
a3099	0	1	0	0
a3112	1	0	0	0
a3114	1	0	0	0
a3121	0	1	0	0
a3129	1	0	0	0
a3131	1	0	0	0
a3133	1	0	0	0
a3134	1	0	0	0
a3139	1	0	0	0
a3141	1	0	0	0
a3143	1	0	0	0
a3152	1	0	0	0
a3154	0	1	0	0
a3157	1	0	0	0
a3169	1	0	0	0
a3173	0	1	0	0
a3179	1	0	0	0
a3185	1	0	0	0
a3189	0	1	0	0
a3193	1	0	0	0
a3199	0	1	0	0
a3202	0	1	0	0
a3216	0	1	0	0
a3219	0	1	0	0
a3224	1	0	0	0
a3231	0	1	0	0
a3237	1	0	0	0
a3243	1	0	0	0
a3246	1	0	0	0
a3260	1	0	0	0
a3262	1	0	0	0
a3271	1	0	0	0
a3273	1	0	0	0
a3278	0	1	0	0
a3279	1	0	0	0
a3284	0	1	0	0
a3287	1	0	0	0
a3293	0	0	0	1
a3296	1	0	0	0
a3302	1	0	0	0
a3312	1	0	0	0
a3316	0	1	0	0
a3323	1	0	0	0
a3326	0	1	0	0
a3331	1	0	0	0
a3338	0	1	0	0
a3346	0	1	0	0
a3348	1	0	0	0
a3351	1	0	0	0
a3359	1	0	0	0
a3360	1	0	0	0
a3371	1	0	0	0
a3377	0	1	0	0
a3380	1	0	0	0
a3383	1	0	0	0
a3397	1	0	0	0
a3399	1	0	0	0
a3400	1	0	0	0
a3402	1	0	0	0
a3404	1	0	0	0
a3410	1	0	0	0
a3412	1	0	0	0
a3415	0	0	0	1
a3419	1	0	0	0
a3424	0	1	0	0
a3444	0	1	0	0
a3445	1	0	0	0
a3458	0	1	0	0
a3476	1	0	0	0
a3482	0	1	0	0
a3486	0	1	0	0
a3490	1	0	0	0
a3494	0	1	0	0
a3496	1	0	0	0
a3498	1	0	0	0
a3501	1	0	0	0
a3506	1	0	0	0
a3512	1	0	0	0
a3518	0	1	0	0
a3521	1	0	0	0
a3526	1	0	0	0
a3533	0	1	0	0
a3535	0	1	0	0
a3542	0	1	0	0
a3545	0	1	0	0
a3547	0	1	0	0
a3548	0	1	0	0
a3549	0	1	0	0
a3555	0	1	0	0
a3559	0	1	0	0
a3562	0	1	0	0
a3564	0	0	0	1
a3569	0	1	0	0
a3573	0	1	0	0
a3574	0	1	0	0
a3576	0	0	1	0
a3581	0	1	0	0
a3583	1	0	0	0
a3588	0	1	0	0
a3589	0	1	0	0
a3594	0	1	0	0
a3598	0	1	0	0
a3600	0	1	0	0
a3606	0	1	0	0
a3609	0	1	0	0
a3614	0	1	0	0
a3618	0	1	0	0
a3627	0	1	0	0
a3630	0	1	0	0
a3633	0	1	0	0
a3634	0	1	0	0
a3637	0	0	1	0
a3640	0	1	0	0
a3641	0	1	0	0
a3645	0	1	0	0
a3649	0	1	0	0
a3652	0	1	0	0
a3655	0	1	0	0
a3657	0	1	0	0
a3662	0	1	0	0
a3671	0	0	0	1
a3673	0	1	0	0
a3677	0	0	0	1
a3683	0	1	0	0
a3686	0	1	0	0
a3690	0	1	0	0
a3693	0	0	1	0
a3698	0	1	0	0
a3702	0	0	1	0
a3708	0	1	0	0
a3715	0	1	0	0
a3718	0	1	0	0
a3725	0	1	0	0
a3730	0	1	0	0
a3734	0	1	0	0
a3739	0	1	0	0
a3740	0	1	0	0
a3742	0	1	0	0
a3744	0	1	0	0
a3746	0	1	0	0
a3752	0	1	0	0
a3760	0	1	0	0
a3763	0	0	0	1
a3767	0	1	0	0
a3771	0	1	0	0
a3774	0	1	0	0
a3778	1	0	0	0
a3782	0	1	0	0
a3784	0	1	0	0
a3785	0	1	0	0
a3788	0	1	0	0
a3791	0	1	0	0
a3792	0	1	0	0
a3796	0	1	0	0
a3798	0	1	0	0
a3800	0	1	0	0
a3804	0	1	0	0
a3808	0	1	0	0
a3809	0	1	0	0
a3811	0	1	0	0
a3812	0	1	0	0
a3815	0	1	0	0
a3819	0	1	0	0
a3820	0	1	0	0
a3821	0	1	0	0
a3824	0	1	0	0
a3839	0	1	0	0
a3844	0	1	0	0
a3857	0	1	0	0
a3860	0	1	0	0
a3863	0	1	0	0
a3869	0	0	1	0
a3871	0	0	1	0
a3874	0	1	0	0
a3881	0	1	0	0
a3882	0	1	0	0
a3884	0	1	0	0
a3887	0	1	0	0
a3888	0	1	0	0
a3891	0	1	0	0
a3893	0	1	0	0
a3895	0	0	1	0
a3899	0	1	0	0
a3900	0	1	0	0
a3905	0	1	0	0
a3911	0	1	0	0
a3927	0	1	0	0
a3932	1	0	0	0
a3935	0	1	0	0
a3936	0	1	0	0
a3940	0	1	0	0
a3943	0	1	0	0
a3950	0	1	0	0
a3951	0	1	0	0
a3955	0	1	0	0
a3960	0	1	0	0
a3961	0	1	0	0
a3974	0	1	0	0
a3983	0	0	1	0
a3986	0	1	0	0
a3990	0	1	0	0
a3994	0	1	0	0
a3997	0	1	0	0
a4000	0	1	0	0
a4006	0	1	0	0
a4011	0	1	0	0
a4028	0	1	0	0
a4036	0	0	0	1
a4047	0	0	1	0
a4051	0	1	0	0
a4054	0	1	0	0
a4057	0	1	0	0
a4066	0	1	0	0
a4072	0	0	0	1
a4078	0	1	0	0
a4082	0	1	0	0
a4084	0	1	0	0
a4090	0	1	0	0
a4092	0	1	0	0
a4098	1	0	0	0
a4100	0	0	0	1
a4102	0	1	0	0
a4103	0	1	0	0
a4106	1	0	0	0
a4110	0	1	0	0
a4114	0	1	0	0
a4118	0	1	0	0
a4131	0	1	0	0
a4134	0	1	0	0
a4138	0	1	0	0
a4142	0	1	0	0
a4145	0	1	0	0
a4149	0	1	0	0
a4160	0	0	1	0
a4171	0	0	0	1
a4183	0	1	0	0
a4188	0	1	0	0
a4194	0	1	0	0
a4204	0	1	0	0
a4206	0	1	0	0
a4208	0	1	0	0
a4213	0	1	0	0
a4215	0	1	0	0
a4217	0	1	0	0
a4220	0	1	0	0
a4222	0	1	0	0
a4223	0	1	0	0
a4227	0	1	0	0
a4228	0	1	0	0
a4239	0	1	0	0
a4243	0	1	0	0
a4255	0	1	0	0
a4265	0	1	0	0
a4268	0	0	1	0
a4272	0	1	0	0
a4280	0	0	0	1
a4288	0	1	0	0
a4294	0	1	0	0
a4306	0	1	0	0
a4319	0	1	0	0
a4323	0	1	0	0
a4324	0	1	0	0
a4326	0	1	0	0
a4327	0	1	0	0
a4336	0	1	0	0
a4337	0	1	0	0
a4340	0	1	0	0
a4341	0	1	0	0
a4345	0	1	0	0
a4349	0	0	0	1
a4350	0	1	0	0
a4361	0	1	0	0
a4371	0	1	0	0
a4373	0	1	0	0
a4375	0	1	0	0
a4389	0	0	0	1
a4393	0	1	0	0
a4401	0	0	1	0
a4406	0	0	1	0
a4409	0	0	1	0
a4411	0	1	0	0
a4414	0	0	1	0
a4418	0	0	1	0
a4422	0	1	0	0
a4425	0	1	0	0
a4431	0	0	1	0
a4436	0	0	1	0
a4441	0	0	1	0
a4445	0	0	0	1
a4453	0	0	1	0
a4461	0	1	0	0
a4473	0	0	1	0
a4476	0	1	0	0
a4480	0	0	1	0
a4482	0	0	1	0
a4489	0	0	1	0
a4492	0	0	1	0
a4495	0	0	1	0
a4500	0	0	1	0
a4507	0	0	1	0
a4509	0	1	0	0
a4515	0	1	0	0
a4519	0	0	0	1
a4525	0	0	1	0
a4534	0	0	1	0
a4538	0	0	0	1
a4549	0	0	1	0
a4552	0	0	1	0
a4555	0	0	1	0
a4560	0	0	0	1
a4569	0	0	1	0
a4579	0	0	0	1
a4582	0	0	1	0
a4588	0	1	0	0
a4596	0	0	1	0
a4597	0	0	1	0
a4600	0	0	1	0
a4611	0	1	0	0
a4615	0	0	1	0
a4623	0	0	1	0
a4634	0	0	1	0
a4654	0	0	1	0
a4659	0	0	1	0
a4669	0	0	0	1
a4683	0	0	1	0
a4686	0	0	1	0
a4690	0	0	1	0
a4708	0	0	1	0
a4717	0	1	0	0
a4721	0	1	0	0
a4723	0	0	1	0
a4730	0	0	1	0
a4739	0	0	0	1
a4747	0	0	1	0
a4752	0	0	0	1
a4753	0	0	0	1
a4760	0	0	1	0
a4769	0	0	0	1
a4781	0	0	0	1
a4788	0	0	1	0
a4792	0	0	1	0
a4799	0	0	1	0
a4802	0	0	1	0
a4804	0	0	1	0
a4818	0	0	1	0
a4828	0	0	1	0
a4830	0	0	1	0
a4837	0	0	1	0
a4841	0	0	1	0
a4845	0	0	1	0
a4848	0	0	0	1
a4859	0	0	1	0
a4878	0	1	0	0
a4884	0	0	1	0
a4898	0	1	0	0
a4900	0	0	1	0
a4904	0	0	1	0
a4910	0	0	1	0
a4924	0	0	1	0
a4932	0	0	1	0
a4934	0	0	1	0
a4944	0	0	1	0
a4948	0	0	1	0
a4961	0	0	1	0
a4968	0	0	1	0
a4970	0	0	1	0
a4981	0	0	1	0
a4985	0	0	1	0
a4988	0	0	1	0
a4993	0	0	1	0
a5005	0	0	1	0
a5010	0	0	1	0
a5013	0	0	1	0
a5017	0	0	1	0
a5024	0	0	0	1
a5026	0	0	1	0
a5028	0	0	1	0
a5038	0	0	1	0
a5039	0	0	1	0
a5055	0	0	1	0
a5064	0	0	1	0
a5072	0	0	1	0
a5087	0	0	1	0
a5092	0	0	1	0
a5097	0	0	1	0
a5100	0	0	1	0
a5101	0	0	1	0
a5102	0	0	1	0
a5107	0	0	0	1
a5117	0	0	1	0
a5124	0	0	1	0
a5130	0	0	1	0
a5131	0	0	1	0
a5149	0	0	0	1
a5151	0	0	1	0
a5152	0	0	0	1
a5158	0	0	1	0
a5166	0	0	1	0
a5181	0	0	1	0
a5183	0	0	1	0
a5195	0	0	1	0
a5201	0	0	1	0
a5202	0	0	1	0
a5205	0	0	1	0
a5206	0	0	1	0
a5214	0	0	1	0
a5217	0	0	1	0
a5226	0	0	1	0
a5232	0	0	1	0
a5243	0	0	0	1
a5249	0	0	1	0
a5254	0	0	1	0
a5260	0	0	1	0
a5264	0	0	1	0
a5276	0	0	1	0
